Anyo,codigo_distrito,precio_venta_m2
2007,1,4497.571428571428
2007,2,4000.0
2007,4,4771.0
2007,5,4560.333333333333
2007,6,3736.875
2007,8,3432.4
2007,9,3934.8
2007,10,2973.5
2007,11,3007.125
2007,12,3020.0
2007,13,2680.0
2007,15,3475.0
2007,16,3645.6666666666665
2007,20,3448.8
2008,1,4293.166666666667
2008,2,3816.5833333333335
2008,3,4271.8
2008,4,4796.333333333333
2008,5,4686.416666666667
2008,6,3684.75
2008,7,4805.25
2008,8,3539.25
2008,9,3941.5
2008,10,2903.6666666666665
2008,11,2877.0833333333335
2008,12,2804.75
2008,13,2762.1666666666665
2008,15,3409.5833333333335
2008,16,3537.0833333333335
2008,17,2650.75
2008,18,2834.5
2008,20,3209.0833333333335
2008,21,3435.25
2009,1,4093.4166666666665
2009,2,3636.6666666666665
2009,3,3997.4166666666665
2009,4,4829.25
2009,5,4623.583333333333
2009,6,3511.9166666666665
2009,7,4683.25
2009,8,3358.9166666666665
2009,9,3884.75
2009,10,2732.9166666666665
2009,11,2741.5833333333335
2009,12,2581.25
2009,13,2598.1666666666665
2009,14,2601.75
2009,15,3202.3333333333335
2009,16,3583.5
2009,17,2380.8333333333335
2009,18,2756.25
2009,20,3091.0
2009,21,3339.4166666666665
2010,1,3999.6666666666665
2010,2,3536.6666666666665
2010,3,3974.9166666666665
2010,4,4705.833333333333
2010,5,4654.083333333333
2010,6,3459.4166666666665
2010,7,4522.0
2010,8,3330.8333333333335
2010,9,3781.75
2010,10,2570.0833333333335
2010,11,2618.9166666666665
2010,12,2424.5
2010,13,2447.8333333333335
2010,14,2620.25
2010,15,3184.9166666666665
2010,16,3519.75
2010,17,2232.5
2010,18,2676.0833333333335
2010,19,2608.7272727272725
2010,20,2901.25
2010,21,3236.5
2011,1,3881.8333333333335
2011,2,3406.5833333333335
2011,3,3782.25
2011,4,4562.666666666667
2011,5,4528.666666666667
2011,6,3298.4166666666665
2011,7,4331.5
2011,8,3355.6666666666665
2011,9,3587.75
2011,10,2347.0
2011,11,2366.0
2011,12,2253.6666666666665
2011,13,2138.0
2011,14,2500.5
2011,15,3129.9166666666665
2011,16,3436.75
2011,17,1998.0833333333333
2011,18,2528.0
2011,19,2449.9166666666665
2011,20,2737.4166666666665
2011,21,3158.4166666666665
2012,1,3571.1666666666665
2012,2,3085.5
2012,3,3485.9166666666665
2012,4,4247.5
2012,5,4217.0
2012,6,2984.75
2012,7,4000.0
2012,8,3084.8333333333335
2012,9,3333.0
2012,10,2040.5833333333333
2012,11,2058.1666666666665
2012,12,1921.25
2012,13,1747.5
2012,14,2198.0833333333335
2012,15,2828.0
2012,16,3186.3333333333335
2012,17,1728.3333333333333
2012,18,2342.9166666666665
2012,19,2165.6666666666665
2012,20,2429.6666666666665
2012,21,2957.0833333333335
2013,1,3289.8333333333335
2013,2,2777.5833333333335
2013,3,3275.0
2013,4,4073.9166666666665
2013,5,3954.9166666666665
2013,6,2706.0833333333335
2013,7,3707.3333333333335
2013,8,2854.75
2013,9,3082.25
2013,10,1807.8333333333333
2013,11,1808.0
2013,12,1672.75
2013,13,1458.25
2013,14,1945.0
2013,15,2495.5833333333335
2013,16,2920.5
2013,17,1443.8333333333333
2013,18,2091.6666666666665
2013,19,1877.8333333333333
2013,20,2133.9166666666665
2013,21,2672.4166666666665
2014,1,3278.0
2014,2,2684.3333333333335
2014,3,3161.0833333333335
2014,4,4083.9166666666665
2014,5,3881.6666666666665
2014,6,2585.1666666666665
2014,7,3585.75
2014,8,2750.5833333333335
2014,9,3017.9166666666665
2014,10,1617.4166666666667
2014,11,1651.9166666666667
2014,12,1500.5
2014,13,1341.25
2014,14,1914.1666666666667
2014,15,2454.25
2014,16,2820.4166666666665
2014,17,1246.75
2014,18,1984.25
2014,19,1711.5
2014,20,2095.25
2014,21,2569.8333333333335
2015,1,3423.8333333333335
2015,2,2709.75
2015,3,3312.0833333333335
2015,4,4243.333333333333
2015,5,3992.5
2015,6,2584.25
2015,7,3700.8333333333335
2015,8,2766.8333333333335
2015,9,3043.6666666666665
2015,10,1642.25
2015,11,1629.1666666666667
2015,12,1508.6666666666667
2015,13,1318.25
2015,14,1920.9166666666667
2015,15,2432.5
2015,16,2746.5833333333335
2015,17,1355.3333333333333
2015,18,1897.75
2015,19,1647.3333333333333
2015,20,2101.0
2015,21,2582.8333333333335
2016,1,3666.3333333333335
2016,2,2835.0
2016,3,3395.75
2016,4,4373.25
2016,5,4189.0
2016,6,2690.4166666666665
2016,7,3926.25
2016,8,2798.0
2016,9,3150.3333333333335
2016,10,1741.1666666666667
2016,11,1617.0833333333333
2016,12,1507.5833333333333
2016,13,1345.3333333333333
2016,14,1984.8333333333333
2016,15,2429.8333333333335
2016,16,2879.9166666666665
2016,17,1385.5833333333333
2016,18,1866.4166666666667
2016,19,1696.75
2016,20,2118.0
2016,21,2588.8333333333335
2017,1,4135.583333333333
2017,2,3186.0
2017,3,3689.5
2017,4,4759.583333333333
2017,5,4443.0
2017,6,2944.1666666666665
2017,7,4416.833333333333
2017,8,2998.5
2017,9,3401.6666666666665
2017,10,1860.4166666666667
2017,11,1764.5
2017,12,1607.4166666666667
2017,13,1441.5833333333333
2017,14,2109.9166666666665
2017,15,2519.3333333333335
2017,16,3052.0833333333335
2017,17,1436.25
2017,18,1972.75
2017,19,1695.25
2017,20,2270.8333333333335
2017,21,2685.8333333333335
2018,1,4874.083333333333
2018,2,3844.8333333333335
2018,3,4405.833333333333
2018,4,5539.666666666667
2018,5,4975.666666666667
2018,6,3433.0833333333335
2018,7,5142.0
2018,8,3248.8333333333335
2018,9,3765.25
2018,10,2157.9166666666665
2018,11,2008.0
2018,12,1861.3333333333333
2018,13,1732.25
2018,14,2345.4166666666665
2018,15,2829.0
2018,16,3528.25
2018,17,1584.8333333333333
2018,18,2192.25
2018,19,2033.8333333333333
2018,20,2489.5833333333335
2018,21,2940.0
2019,1,5024.0
2019,2,4059.1666666666665
2019,3,4602.25
2019,4,5840.25
2019,5,5051.416666666667
2019,6,3703.0
2019,7,5290.583333333333
2019,8,3439.5833333333335
2019,9,3918.6666666666665
2019,10,2295.5
2019,11,2180.4166666666665
2019,12,2036.5
2019,13,1920.8333333333333
2019,14,2540.5833333333335
2019,15,3062.25
2019,16,3704.0833333333335
2019,17,1710.0
2019,18,2404.5833333333335
2019,19,2256.25
2019,20,2524.3333333333335
2019,21,3161.0833333333335
2020,1,4994.833333333333
2020,2,3918.1666666666665
2020,3,4541.666666666667
2020,4,5849.5
2020,5,5090.416666666667
2020,6,3676.6666666666665
2020,7,5356.25
2020,8,3525.8333333333335
2020,9,3915.25
2020,10,2295.5
2020,11,2169.0
2020,12,1991.6666666666667
2020,13,1920.1666666666667
2020,14,2485.0833333333335
2020,15,2975.0833333333335
2020,16,3683.0
2020,17,1718.3333333333333
2020,18,2402.0833333333335
2020,19,2327.0
2020,20,2511.25
2020,21,3172.9166666666665
2021,1,4820.25
2021,2,4002.5
2021,3,4675.333333333333
2021,4,5987.666666666667
2021,5,5098.666666666667
2021,6,3660.3333333333335
2021,7,5319.666666666667
2021,8,3527.8333333333335
2021,9,4006.6666666666665
2021,10,2256.5833333333335
2021,11,2126.4166666666665
2021,12,1979.5
2021,13,1901.5833333333333
2021,14,2550.5833333333335
2021,15,2955.5
2021,16,3769.4166666666665
2021,17,1704.5833333333333
2021,18,2358.1666666666665
2021,19,2405.3333333333335
2021,20,2563.4166666666665
2021,21,3264.1666666666665
2022,1,5108.2
2022,2,4196.1
2022,3,4955.7
2022,4,6507.7
2022,5,5420.8
2022,6,3841.6
2022,7,5654.9
2022,8,3718.9
2022,9,4170.7
2022,10,2349.7
2022,11,2232.3
2022,12,2096.6
2022,13,2037.4
2022,14,2593.3
2022,15,3127.1
2022,16,3950.3
2022,17,1768.8
2022,18,2466.9
2022,19,2700.3
2022,20,2635.9
2022,21,3306.2
