Anyo,codigo_distrito,codigo_barrio,renta
2013,1,11,31912.671136554
2013,1,12,23917.9716060291
2013,1,13,32410.5625925926
2013,1,14,36413.5358867178
2013,1,15,28782.5408047034
2013,1,16,27377.5178430296
2013,2,21,39919.8051248313
2013,2,22,42748.8007011447
2013,2,23,30279.7215800192
2013,2,24,45690.8273585721
2013,2,25,37010.0056696631
2013,2,26,32028.6954407268
2013,2,27,34606.5870913462
2013,3,31,39953.7356568593
2013,3,32,43239.2561189313
2013,3,33,56529.395522826
2013,3,34,43021.3492185955
2013,3,35,61916.3198690909
2013,3,36,65003.1873283825
2013,4,41,78534.9370241884
2013,4,42,46913.7553091718
2013,4,43,38598.715288622
2013,4,44,44361.0249973359
2013,4,45,45891.1550569293
2013,4,46,75552.7027060795
2013,5,51,113836.827925432
2013,5,52,41623.7889287578
2013,5,53,41162.345086184
2013,5,54,58862.0576558333
2013,5,55,73269.8772947936
2013,5,56,53214.4407089014
2013,6,61,29258.0087261599
2013,6,62,40466.5976855013
2013,6,63,43088.1252244618
2013,6,64,27278.7061824743
2013,6,65,26847.5047428857
2013,6,66,27221.0708321288
2013,7,71,41122.2622573944
2013,7,72,41590.1229430118
2013,7,73,38017.9177252836
2013,7,74,65706.4822262821
2013,7,75,45063.9335431639
2013,7,76,56802.0873146541
2013,8,81,35555.1293173293
2013,8,82,83047.4152124646
2013,8,83,39527.2353793355
2013,8,84,32912.2936380902
2013,8,85,56953.098539335
2013,8,86,39314.8635767961
2013,8,87,73487.0927797396
2013,8,88,51444.6646065808
2013,9,91,39510.5927689629
2013,9,92,49355.1255906607
2013,9,93,62275.7900262146
2013,9,94,34027.558734594
2013,9,95,106640.846500868
2013,9,96,93597.3047619048
2013,9,97,67162.500933475
2013,10,101,27624.3561544523
2013,10,102,26531.9197812573
2013,10,103,29069.1418602968
2013,10,104,30431.0956849079
2013,10,105,30794.5753271417
2013,10,106,35053.3056701632
2013,10,107,28990.1567878374
2013,11,111,26321.3272806828
2013,11,112,27099.8840440472
2013,11,113,25021.2390082136
2013,11,114,26875.7557331186
2013,11,115,24636.6814555009
2013,11,116,29610.6700498598
2013,11,117,27438.806196786
2013,12,121,25968.5679783784
2013,12,122,23197.5568721109
2013,12,123,24201.506311662
2013,12,124,24290.8396102831
2013,12,125,25745.4739127673
2013,12,126,24556.0532805995
2013,12,127,21814.3179381983
2013,13,131,21038.580288152
2013,13,132,20108.0129820432
2013,13,133,27649.779460922
2013,13,134,25372.478739345
2013,13,135,22832.9171257886
2013,13,136,23773.9104392395
2013,14,141,33133.6963049579
2013,14,142,41912.7153559795
2013,14,143,39432.6247998511
2013,14,144,34725.9356959887
2013,14,145,27396.6622312105
2013,14,146,28551.2156833934
2013,15,151,27598.8951478563
2013,15,152,29101.1919296734
2013,15,153,29520.0513445879
2013,15,154,33489.0115740952
2013,15,155,41145.2389347173
2013,15,156,53815.4996660959
2013,15,157,50733.5909106029
2013,15,158,64437.9374640288
2013,15,159,61976.636143655
2013,16,161,75672.5854571293
2013,16,162,100792.468663717
2013,16,163,38763.1811252234
2013,16,164,32811.4496718174
2013,16,165,35135.797848522
2013,16,166,52532.1401325811
2013,17,171,23657.7578136247
2013,17,172,18121.612327044
2013,17,173,27423.2047349754
2013,17,174,27157.8310246768
2013,17,175,27544.1952257954
2013,18,181,26874.2289686859
2013,18,182,35152.0173086618
2013,19,191,32908.9018544214
2013,19,192,0.0
2013,20,201,29510.1733002143
2013,20,202,22647.0704632153
2013,20,203,21317.2334949371
2013,20,204,26632.9861534921
2013,20,205,41383.4904816153
2013,20,206,36235.7974671828
2013,20,207,30527.1154862024
2013,20,208,50342.1891680415
2013,21,211,52018.801966092
2013,21,212,22620.3091935484
2013,21,213,33312.1400101729
2013,21,214,38646.9129867194
2013,21,215,68664.5456642974
2014,1,11,32445.4549182297
2014,1,12,23833.4106685303
2014,1,13,32402.8497833656
2014,1,14,35913.3274475179
2014,1,15,28883.0456959947
2014,1,16,27706.5462890301
2014,2,21,41022.2174894381
2014,2,22,43511.8247447965
2014,2,23,30204.5800467122
2014,2,24,46590.4624968099
2014,2,25,37964.1133351454
2014,2,26,32217.5955418525
2014,2,27,36648.5704842615
2014,3,31,40850.6489435691
2014,3,32,44308.3811705546
2014,3,33,57297.0806038931
2014,3,34,44355.7600164944
2014,3,35,68950.3503014706
2014,3,36,69740.3812244529
2014,4,41,82755.0352598524
2014,4,42,47231.6698925241
2014,4,43,39343.2939813271
2014,4,44,44887.6277451733
2014,4,45,46932.6376009174
2014,4,46,83081.6707080446
2014,5,51,113001.04082483
2014,5,52,42259.316250244
2014,5,53,41735.8331397651
2014,5,54,61176.6851220935
2014,5,55,77392.0553267785
2014,5,56,55731.312256254
2014,6,61,29188.9605135898
2014,6,62,40897.4817955285
2014,6,63,44890.0583371455
2014,6,64,27382.438904218
2014,6,65,26530.5724314932
2014,6,66,26856.5614075824
2014,7,71,42284.7733234831
2014,7,72,40170.2759776229
2014,7,73,39427.8005748248
2014,7,74,69448.6491205254
2014,7,75,47942.1651331615
2014,7,76,56811.9140532508
2014,8,81,36339.5542410374
2014,8,82,97929.5570328639
2014,8,83,44658.686251895
2014,8,84,33137.6417320382
2014,8,85,57508.9458634928
2014,8,86,39880.7449165016
2014,8,87,73749.5049548864
2014,8,88,52624.0043548387
2014,9,91,40609.3090762681
2014,9,92,51925.5028312537
2014,9,93,64474.7706969178
2014,9,94,33997.0665379125
2014,9,95,111688.985042784
2014,9,96,114186.303445596
2014,9,97,72527.5419643303
2014,10,101,27725.3737872607
2014,10,102,26496.7473179198
2014,10,103,29135.6636269543
2014,10,104,30205.5019185891
2014,10,105,30638.1886555556
2014,10,106,35486.1350252101
2014,10,107,29036.0058507885
2014,11,111,26236.1847750753
2014,11,112,27181.1030206259
2014,11,113,24846.9387792403
2014,11,114,27013.2347589786
2014,11,115,24383.8135213148
2014,11,116,29879.3477260547
2014,11,117,26840.5427329657
2014,12,121,25885.7725176583
2014,12,122,23155.196623717
2014,12,123,24195.7489579663
2014,12,124,24167.0342135445
2014,12,125,24962.4344890203
2014,12,126,24303.3990715026
2014,12,127,21749.9074192422
2014,13,131,20936.925284383
2014,13,132,19764.7750294511
2014,13,133,27963.1934013095
2014,13,134,25306.5836064524
2014,13,135,22797.0766267599
2014,13,136,23661.6385944648
2014,14,141,33197.333165109
2014,14,142,41991.1179145379
2014,14,143,39335.1655374289
2014,14,144,34987.6957813822
2014,14,145,27349.1547985782
2014,14,146,28287.0183905967
2014,15,151,27436.2870886206
2014,15,152,29206.0894271439
2014,15,153,29504.0108780101
2014,15,154,33376.6418851805
2014,15,155,41228.1697897324
2014,15,156,55567.3709077349
2014,15,157,52757.1880326496
2014,15,158,62597.0135335689
2014,15,159,64340.5420207254
2014,16,161,77836.7561129258
2014,16,162,101620.187618627
2014,16,163,38580.5386830883
2014,16,164,33645.4263082833
2014,16,165,35149.2457802352
2014,16,166,52805.8221451664
2014,17,171,23505.2318419876
2014,17,172,17786.1389935196
2014,17,173,28093.2416567737
2014,17,174,27222.893699648
2014,17,175,27746.3846371243
2014,18,181,26951.1107499323
2014,18,182,35175.6865751858
2014,19,191,33101.2054290057
2014,19,192,0.0
2014,20,201,29644.9132389055
2014,20,202,22632.6587905443
2014,20,203,20884.6508397181
2014,20,204,26734.8886050247
2014,20,205,41992.8830891749
2014,20,206,36011.2595560324
2014,20,207,30764.4044872511
2014,20,208,53790.786705298
2014,21,211,51559.5687887404
2014,21,212,22835.2432880845
2014,21,213,32838.9432610904
2014,21,214,38994.3607302338
2014,21,215,64548.2690722942
2015,1,11,34675.8479134597
2015,1,12,25999.8327430822
2015,1,13,34952.6798046567
2015,1,14,40314.882263767
2015,1,15,30701.6520392922
2015,1,16,30935.8043113426
2015,2,21,41950.8120458647
2015,2,22,44669.1824389435
2015,2,23,31933.91199662
2015,2,24,48935.036576627
2015,2,25,39647.6886525592
2015,2,26,33938.3690529766
2015,2,27,37939.2847228916
2015,3,31,41948.887029967
2015,3,32,45842.9286514838
2015,3,33,58249.1444892188
2015,3,34,45561.1376637797
2015,3,35,84955.3024479941
2015,3,36,69100.1609099165
2015,4,41,84705.7178808273
2015,4,42,48814.7378325123
2015,4,43,40503.5590024741
2015,4,44,46340.8740988493
2015,4,45,47375.4245291166
2015,4,46,82811.1790116372
2015,5,51,103573.082656006
2015,5,52,43701.5220015745
2015,5,53,43706.9826198041
2015,5,54,62635.3503539972
2015,5,55,80248.3920255963
2015,5,56,54869.9650135588
2015,6,61,31125.2299026959
2015,6,62,43306.0232761758
2015,6,63,45025.3268859599
2015,6,64,28746.7033662579
2015,6,65,28242.0523623145
2015,6,66,28945.5254772727
2015,7,71,42607.6365402033
2015,7,72,42210.1517765152
2015,7,73,41126.2198025844
2015,7,74,68786.7092139108
2015,7,75,47955.2791667397
2015,7,76,59458.5754002255
2015,8,81,39061.7270865533
2015,8,82,98155.7929422895
2015,8,83,45508.0580730877
2015,8,84,33746.0138188456
2015,8,85,58457.3752869185
2015,8,86,42537.2500960052
2015,8,87,78328.1005562156
2015,8,88,57441.3442330211
2015,9,91,41436.0838529902
2015,9,92,53460.6435623358
2015,9,93,67390.492096167
2015,9,94,34996.9307976869
2015,9,95,112320.748093875
2015,9,96,101419.171710362
2015,9,97,77060.7556397453
2015,10,101,29540.9576941288
2015,10,102,27913.6339112543
2015,10,103,30075.7055536143
2015,10,104,31116.5071197473
2015,10,105,31913.206846746
2015,10,106,35197.13451
2015,10,107,29910.4549361744
2015,11,111,27579.2279443115
2015,11,112,28031.4791042033
2015,11,113,26282.7243978732
2015,11,114,27788.2132821128
2015,11,115,25725.1872554806
2015,11,116,31280.5620099041
2015,11,117,27997.6117863216
2015,12,121,26857.9425527045
2015,12,122,24995.8694500883
2015,12,123,25440.2477533762
2015,12,124,25506.2488443106
2015,12,125,26358.1596933887
2015,12,126,25498.3842078898
2015,12,127,23173.8699772727
2015,13,131,22055.0909948959
2015,13,132,21224.7913612672
2015,13,133,28754.3117819879
2015,13,134,26632.0903675335
2015,13,135,23824.7011850072
2015,13,136,24872.5386984291
2015,14,141,34024.5241388975
2015,14,142,45040.7301922175
2015,14,143,40428.4098530513
2015,14,144,35438.8711740488
2015,14,145,28013.7068747194
2015,14,146,29156.1159960856
2015,15,151,28196.6239385058
2015,15,152,30038.9555432669
2015,15,153,30421.5557167099
2015,15,154,34263.2416840776
2015,15,155,42449.9468798582
2015,15,156,56198.1898953215
2015,15,157,54247.1572063758
2015,15,158,67826.1492998205
2015,15,159,65589.45233329
2015,16,161,81736.547158496
2015,16,162,97253.6423164336
2015,16,163,39790.2400918192
2015,16,164,33701.4312862047
2015,16,165,36691.4783926056
2015,16,166,55975.1455794732
2015,17,171,24884.4147377196
2015,17,172,19587.0949040644
2015,17,173,30153.304534441
2015,17,174,28416.0524909634
2015,17,175,28062.4299562607
2015,18,181,28357.1952380006
2015,18,182,36426.5820036597
2015,19,191,34498.3449952298
2015,19,192,0.0
2015,20,201,31368.0821042939
2015,20,202,23534.7450276702
2015,20,203,21841.9888400866
2015,20,204,28111.3514107266
2015,20,205,43369.4685542836
2015,20,206,38202.7270639004
2015,20,207,31306.0089447945
2015,20,208,54441.1045863053
2015,21,211,52281.1907390498
2015,21,212,24254.3146616541
2015,21,213,29450.04216593
2015,21,214,40271.041996997
2015,21,215,65879.1637136929
2016,1,11,35509.0
2016,1,12,26762.0
2016,1,13,37427.0
2016,1,14,41584.0
2016,1,15,31866.0
2016,1,16,31684.0
2016,2,21,43145.0
2016,2,22,45516.0
2016,2,23,32349.0
2016,2,24,50472.0
2016,2,25,40446.0
2016,2,26,34650.0
2016,2,27,38575.0
2016,3,31,42838.0
2016,3,32,46145.0
2016,3,33,59503.0
2016,3,34,46885.0
2016,3,35,69543.0
2016,3,36,68049.0
2016,4,41,79782.0
2016,4,42,50739.0
2016,4,43,41676.0
2016,4,44,46916.0
2016,4,45,49641.0
2016,4,46,72529.0
2016,5,51,80371.0
2016,5,52,44699.0
2016,5,53,44437.0
2016,5,54,63487.0
2016,5,55,73423.0
2016,5,56,56554.0
2016,6,61,31745.0
2016,6,62,44416.0
2016,6,63,46596.0
2016,6,64,29675.0
2016,6,65,28694.0
2016,6,66,29321.0
2016,7,71,44361.0
2016,7,72,42935.0
2016,7,73,42777.0
2016,7,74,69963.0
2016,7,75,49774.0
2016,7,76,58449.0
2016,8,81,37585.0
2016,8,82,85127.0
2016,8,83,46484.0
2016,8,84,34260.0
2016,8,85,59243.0
2016,8,86,43898.0
2016,8,87,69353.0
2016,8,88,60056.0
2016,9,91,42565.0
2016,9,92,52003.0
2016,9,93,61444.0
2016,9,94,35550.0
2016,9,95,88035.0
2016,9,96,89015.0
2016,9,97,68120.0
2016,10,101,29973.0
2016,10,102,28421.0
2016,10,103,30371.0
2016,10,104,31245.0
2016,10,105,31967.0
2016,10,106,35492.0
2016,10,107,30289.0
2016,11,111,27920.0
2016,11,112,28305.0
2016,11,113,26487.0
2016,11,114,28178.0
2016,11,115,26012.0
2016,11,116,31741.0
2016,11,117,28661.0
2016,12,121,27579.0
2016,12,122,25065.0
2016,12,123,26143.0
2016,12,124,25887.0
2016,12,125,26567.0
2016,12,126,25753.0
2016,12,127,23479.0
2016,13,131,22508.0
2016,13,132,21402.0
2016,13,133,29095.0
2016,13,134,27257.0
2016,13,135,24110.0
2016,13,136,25086.0
2016,14,141,34711.0
2016,14,142,45263.0
2016,14,143,40510.0
2016,14,144,35922.0
2016,14,145,28449.0
2016,14,146,29537.0
2016,15,151,28824.0
2016,15,152,30458.0
2016,15,153,30692.0
2016,15,154,34609.0
2016,15,155,43945.0
2016,15,156,57429.0
2016,15,157,53789.0
2016,15,158,71758.0
2016,15,159,66648.0
2016,16,161,81681.0
2016,16,162,81271.0
2016,16,163,40747.0
2016,16,164,33780.0
2016,16,165,37313.0
2016,16,166,53810.0
2016,17,171,25131.0
2016,17,172,19859.0
2016,17,173,30469.0
2016,17,174,28679.0
2016,17,175,28413.0
2016,18,181,24526.0
2016,18,182,36865.0
2016,19,191,24578.0
2016,19,192,39389.0
2016,20,201,31855.0
2016,20,202,24039.0
2016,20,203,21962.0
2016,20,204,28801.0
2016,20,205,44106.0
2016,20,206,38875.0
2016,20,207,31510.0
2016,20,208,54991.0
2016,21,211,53554.0
2016,21,212,25366.0
2016,21,213,29179.0
2016,21,214,41636.0
2016,21,215,67321.0
2017,1,11,36357.0
2017,1,12,27655.0
2017,1,13,37725.0
2017,1,14,43045.0
2017,1,15,33209.0
2017,1,16,32599.0
2017,2,21,44101.0
2017,2,22,46102.0
2017,2,23,33284.0
2017,2,24,51613.0
2017,2,25,41535.0
2017,2,26,35874.0
2017,2,27,38971.0
2017,3,31,43434.0
2017,3,32,45918.0
2017,3,33,60386.0
2017,3,34,48231.0
2017,3,35,70467.0
2017,3,36,67780.0
2017,4,41,80387.0
2017,4,42,51783.0
2017,4,43,42630.0
2017,4,44,47779.0
2017,4,45,51492.0
2017,4,46,72399.0
2017,5,51,80447.0
2017,5,52,45620.0
2017,5,53,45521.0
2017,5,54,66079.0
2017,5,55,74482.0
2017,5,56,58137.0
2017,6,61,32298.0
2017,6,62,44644.0
2017,6,63,46951.0
2017,6,64,30883.0
2017,6,65,28996.0
2017,6,66,30201.0
2017,7,71,45112.0
2017,7,72,44265.0
2017,7,73,43792.0
2017,7,74,69696.0
2017,7,75,50373.0
2017,7,76,60074.0
2017,8,81,36745.0
2017,8,82,84239.0
2017,8,83,46883.0
2017,8,84,34532.0
2017,8,85,59580.0
2017,8,86,44503.0
2017,8,87,69838.0
2017,8,88,61919.0
2017,9,91,42796.0
2017,9,92,54446.0
2017,9,93,60565.0
2017,9,94,35983.0
2017,9,95,88243.0
2017,9,96,89215.0
2017,9,97,69380.0
2017,10,101,30190.0
2017,10,102,28661.0
2017,10,103,30910.0
2017,10,104,31591.0
2017,10,105,32304.0
2017,10,106,36806.0
2017,10,107,30653.0
2017,11,111,28516.0
2017,11,112,28721.0
2017,11,113,27032.0
2017,11,114,28333.0
2017,11,115,26363.0
2017,11,116,32278.0
2017,11,117,28797.0
2017,12,121,28256.0
2017,12,122,25933.0
2017,12,123,26284.0
2017,12,124,26470.0
2017,12,125,26986.0
2017,12,126,26501.0
2017,12,127,23959.0
2017,13,131,23086.0
2017,13,132,21859.0
2017,13,133,29605.0
2017,13,134,27810.0
2017,13,135,24622.0
2017,13,136,25457.0
2017,14,141,34991.0
2017,14,142,46289.0
2017,14,143,41108.0
2017,14,144,36404.0
2017,14,145,28718.0
2017,14,146,29627.0
2017,15,151,29319.0
2017,15,152,30975.0
2017,15,153,30972.0
2017,15,154,35034.0
2017,15,155,42809.0
2017,15,156,57584.0
2017,15,157,54615.0
2017,15,158,68336.0
2017,15,159,65144.0
2017,16,161,81073.0
2017,16,162,81938.0
2017,16,163,41118.0
2017,16,164,34494.0
2017,16,165,37643.0
2017,16,166,55523.0
2017,17,171,25622.0
2017,17,172,20365.0
2017,17,173,30538.0
2017,17,174,29137.0
2017,17,175,29050.0
2017,18,181,25118.0
2017,18,182,37373.0
2017,19,191,24976.0
2017,19,192,40074.0
2017,20,201,32113.0
2017,20,202,24923.0
2017,20,203,22574.0
2017,20,204,29659.0
2017,20,205,44886.0
2017,20,206,39137.0
2017,20,207,32291.0
2017,20,208,54317.0
2017,21,211,54037.0
2017,21,212,25585.0
2017,21,213,30335.0
2017,21,214,41505.0
2017,21,215,68525.0
2018,1,11,38974.0
2018,1,12,29472.0
2018,1,13,40963.0
2018,1,14,48203.0
2018,1,15,35344.0
2018,1,16,35057.0
2018,2,21,46879.0
2018,2,22,47683.0
2018,2,23,35015.0
2018,2,24,52569.0
2018,2,25,43018.0
2018,2,26,37389.0
2018,2,27,42657.0
2018,3,31,44832.0
2018,3,32,49538.0
2018,3,33,63495.0
2018,3,34,50080.0
2018,3,35,72997.0
2018,3,36,70945.0
2018,4,41,81692.0
2018,4,42,54456.0
2018,4,43,44221.0
2018,4,44,50064.0
2018,4,45,54488.0
2018,4,46,81380.0
2018,5,51,80370.0
2018,5,52,46805.0
2018,5,53,48944.0
2018,5,54,69389.0
2018,5,55,78098.0
2018,5,56,61310.0
2018,6,61,33574.0
2018,6,62,46339.0
2018,6,63,48631.0
2018,6,64,31609.0
2018,6,65,30164.0
2018,6,66,31387.0
2018,7,71,46630.0
2018,7,72,46882.0
2018,7,73,46190.0
2018,7,74,68837.0
2018,7,75,53844.0
2018,7,76,61470.0
2018,8,81,38883.0
2018,8,82,90678.0
2018,8,83,48909.0
2018,8,84,35594.0
2018,8,85,61899.0
2018,8,86,46290.0
2018,8,87,72361.0
2018,8,88,67420.0
2018,9,91,44964.0
2018,9,92,55125.0
2018,9,93,65330.0
2018,9,94,37335.0
2018,9,95,90897.0
2018,9,96,91933.0
2018,9,97,72999.0
2018,10,101,31467.0
2018,10,102,29648.0
2018,10,103,31918.0
2018,10,104,32611.0
2018,10,105,33454.0
2018,10,106,37421.0
2018,10,107,31644.0
2018,11,111,29444.0
2018,11,112,30002.0
2018,11,113,28092.0
2018,11,114,29307.0
2018,11,115,27425.0
2018,11,116,33558.0
2018,11,117,30009.0
2018,12,121,29430.0
2018,12,122,27367.0
2018,12,123,27478.0
2018,12,124,27823.0
2018,12,125,28149.0
2018,12,126,27572.0
2018,12,127,24711.0
2018,13,131,24124.0
2018,13,132,23112.0
2018,13,133,30752.0
2018,13,134,28902.0
2018,13,135,25564.0
2018,13,136,26666.0
2018,14,141,35784.0
2018,14,142,47612.0
2018,14,143,42559.0
2018,14,144,37694.0
2018,14,145,29820.0
2018,14,146,30745.0
2018,15,151,30442.0
2018,15,152,32028.0
2018,15,153,32082.0
2018,15,154,37233.0
2018,15,155,44222.0
2018,15,156,61278.0
2018,15,157,56253.0
2018,15,158,69982.0
2018,15,159,70459.0
2018,16,161,85614.0
2018,16,162,85549.0
2018,16,163,42659.0
2018,16,164,35784.0
2018,16,165,38900.0
2018,16,166,58384.0
2018,17,171,26701.0
2018,17,172,21071.0
2018,17,173,31437.0
2018,17,174,30320.0
2018,17,175,29952.0
2018,18,181,26309.0
2018,18,182,38641.0
2018,19,191,25968.0
2018,19,192,41478.0
2018,20,201,33593.0
2018,20,202,25720.0
2018,20,203,23562.0
2018,20,204,31150.0
2018,20,205,46723.0
2018,20,206,40746.0
2018,20,207,33554.0
2018,20,208,57320.0
2018,21,211,55681.0
2018,21,212,27316.0
2018,21,213,31626.0
2018,21,214,42831.0
2018,21,215,70874.0
